A,B,e,ep
N,N,-0.724,0.0
CA,N,-0.903,-0.119
C,N,-0.722,-0.008
O,N,-0.322,0.048
GCA,N,-0.331,-0.059
CB,N,-0.603,-0.007
KNZ,N,1.147,0.0
KCD,N,0.937,-0.106
DOD,N,0.752,0.126
RNH,N,0.502,0.069
NND,N,0.405,0.117
RNE,N,0.495,0.203
SOG,N,-0.116,-0.033
HN,N,-0.092,0.421
YCZ,N,-0.412,0.107
FCZ,N,-0.499,0.207
LCD,N,-1.005,0.293
CSG,N,-2.060,0.173
CA,CA,-0.842,0.0
C,CA,-0.850,-0.077
O,CA,-0.332,0.097
GCA,CA,-0.365,-0.034
CB,CA,-0.531,0.124
KNZ,CA,1.139,0.051
KCD,CA,0.918,-0.066
DOD,CA,0.852,0.284
RNH,CA,0.452,0.079
NND,CA,0.445,0.216
RNE,CA,0.436,0.203
SOG,CA,-0.044,0.097
HN,CA,-0.165,0.406
YCZ,CA,-0.539,0.039
FCZ,CA,-0.590,0.175
LCD,CA,-1.123,0.235
CSG,CA,-2.028,0.264
C,C,-0.704,0.0
O,C,-0.371,-0.011
GCA,C,-0.308,-0.047
CB,C,-0.499,0.088
KNZ,C,1.140,-0.017
KCD,C,0.846,-0.207
DOD,C,0.788,0.151
RNH,C,0.490,0.047
NND,C,0.408,0.110
RNE,C,0.418,0.116
SOG,C,-0.045,0.028
HN,C,-0.089,0.413
YCZ,C,-0.415,0.094
FCZ,C,-0.478,0.218
LCD,C,-0.963,0.325
CSG,C,-2.033,0.190
O,O,-0.016,0.0
GCA,O,0.205,0.122
CB,O,-0.059,0.184
KNZ,O,1.414,-0.088
KCD,O,1.075,-0.323
DOD,O,1.152,0.171
RNH,O,0.831,0.045
NND,O,0.758,0.115
RNE,O,0.649,0.002
SOG,O,0.383,0.111
HN,O,0.241,0.399
YCZ,O,-0.073,0.092
FCZ,O,-0.166,0.185
LCD,O,-0.650,0.294
CSG,O,-1650,0.228
GCA,GCA,0.182,0.0
CB,GCA,-0.009,0.135
KNZ,GCA,1.502,-0.098
KCD,GCA,1.385,-0.111
DOD,GCA,1.192,0.112
RNH,GCA,0.912,0.027
NND,GCA,0.872,0.131
RNE,GCA,0.943,0.197
SOG,GCA,0.434,0.064
HN,GCA,0.392,0.451
YCZ,GCA,-0.062,0.004
FCZ,GCA,-0.021,0.232
LCD,GCA,-0.342,0.504
CSG,GCA,-1.212,0.569
CB,CB,-0.469,0.0
KNZ,CB,1.310,0.036
KCD,CB,1.010,-0.161
DOD,CB,0.859,0.105
RNH,CB,0.671,0.111
NND,CB,0.591,0.175
RNE,CB,0.565,0.145
SOG,CB,0.122,0.077
HN,CB,0.000,0.385
YCZ,CB,-0.438,-0.046
FCZ,CB,-0.533,0.045
LCD,CB,-1.034,0.137
CSG,CB,-1.800,0.306
KNZ,KNZ,3.018,0.0
KCD,KNZ,2.911,-0.003
DOD,KNZ,1.157,-1.341
RNH,KNZ,2.635,0.331
NND,KNZ,1.848,-0.311
RNE,KNZ,2.699,0.535
SOG,KNZ,1.587,-0.201
HN,KNZ,1.557,0.199
YCZ,KNZ,1.004,-0.348
FCZ,KNZ,1.340,0.175
LCD,KNZ,1.252,0.680
CSG,KNZ,0.700,1.063
KCD,KCD,2.811,0.0
DOD,KCD,0.989,-1.405
RNH,KCD,2.439,0.240
NND,KCD,1.622,-0.434
RNE,KCD,2.525,0.465
SOG,KCD,1.361,-0.324
HN,KCD,1.277,0.022
YCZ,KCD,0.685,-0.563
FCZ,KCD,0.939,-0.123
LCD,KCD,0.814,0.345
CSG,KCD,0.411,0.876
DOD,DOD,-1.978,0.0
RNH,DOD,0.695,-1.088
NND,DOD,1.386,-0.253
RNE,DOD,0.641,-1.002
SOG,DOD,1.002,-0.266
HN,DOD,0.642,-0.197
YCZ,DOD,0.618,-0.214
FCZ,DOD,0.894,0.249
LCD,DOD,0.792,0.740
CSG,DOD,-0.029,0.853
RNH,RNH,1.589,0.0
NND,RNH,1.395,-0.050
RNE,RNH,1.515,0.066
SOG,RNH,1.022,-0.052
HN,RNH,0.948,0.304
YCZ,RNH,0.457,-0.181
FCZ,RNH,0.707,0.256
LCD,RNH,0.586,0.728
CSG,RNH,0.021,1.097
NND,NND,1.300,0.0
RNE,NND,1.283,-0.022
SOG,NND,0.931,0.002
HN,NND,0.829,0.330
YCZ,NND,0.484,-0.008
FCZ,NND,0.633,0.326
LCD,NND,0.389,0.675
CSG,NND,-0.046,1.175
RNE,RNE,1.309,0.0
SOG,RNE,0.921,-0.013
HN,RNE,0.777,0.273
YCZ,RNE,0.265,-0.233
FCZ,RNE,0.484,0.173
LCD,RNE,0.274,0.556
CSG,RNE,-0.253,0.964
SOG,SOG,0.559,0.0
HN,SOG,0.319,0.190
YCZ,SOG,0.301,0.179
FCZ,SOG,0.212,0.277
LCD,SOG,-0.155,0.503
CSG,SOG,-0.949,0.642
HN,HN,-0.301,0.0
YCZ,HN,-0.159,0.149
FCZ,HN,-0.132,0.362
LCD,HN,-0.328,0.749
CSG,HN,-1.324,0.697
YCZ,YCZ,-0.314,0.0
FCZ,YCZ,-0.478,0.023
LCD,YCZ,-0.964,0.130
CSG,YCZ,-1.410,0.618
FCZ,FCZ,0.687,0.0
LCD,FCZ,-1.240,0.040
CSG,FCZ,-1.784,0.430
LCD,LCD,-1.873,0.0
CSG,LCD,-2.402,0.405
CSG,CSG,-3.742,0.0
