"symbol","A","B"
"H",0.60000000,0.01570000
"HO",0.00000000,0.00000000
"HS",0.60000000,0.01570000
"HC",1.48700000,0.01570000
"H1",1.38700000,0.01570000
"H2",1.28700000,0.01570000
"H3",1.18700000,0.01570000
"HP",1.10000000,0.01570000
"HA",1.45900000,0.01500000
"H4",1.40900000,0.01500000
"H5",1.35900000,0.01500000
"HW",0.00000000,0.00000000
"HZ",1.45900000,0.01500000
"O",1.66120000,0.21000000
"O2",1.66120000,0.21000000
"OE1",1.66120000,0.21000000
"OE2",1.66120000,0.21000000
"OD1",1.66120000,0.21000000
"OD2",1.66120000,0.21000000
"OG",1.66120000,0.21000000
"OG1",1.66120000,0.21000000
"OXT",1.66120000,0.21000000
"OW",1.76830000,0.15200000
"OH",1.72100000,0.21040000
"OS",1.68370000,0.17000000
"C*",1.90800000,0.08600000
"CA",1.90800000,0.08600000
"CB",1.90800000,0.08600000
"CD",1.90800000,0.08600000
"CD1",1.90800000,0.08600000
"CD2",1.90800000,0.08600000
"CE",1.90800000,0.08600000
"CE1",1.90800000,0.08600000
"CE2",1.90800000,0.08600000
"CE3",1.90800000,0.08600000
"CH1",1.90800000,0.08600000
"CH2",1.90800000,0.08600000
"CG",1.90800000,0.08600000
"CG1",1.90800000,0.08600000
"CG2",1.90800000,0.08600000
"CZ",1.90800000,0.08600000
"CZ1",1.90800000,0.08600000
"CZ2",1.90800000,0.08600000
"CZ3",1.90800000,0.08600000
"CT",1.90800000,0.10940000
"C",1.90800000,0.08600000
"N",1.82400000,0.17000000
"NH1",1.82400000,0.17000000
"NH2",1.82400000,0.17000000
"NE",1.82400000,0.17000000
"NE1",1.82400000,0.17000000
"NE2",1.82400000,0.17000000
"ND1",1.82400000,0.17000000
"ND2",1.82400000,0.17000000
"N3",1.82400000,0.17000000
"NY",1.82400000,0.17000000
"NZ",1.82400000,0.17000000
"S",2.00000000,0.25000000
"SD",2.00000000,0.25000000
"SH",2.00000000,0.25000000
"SG",2.00000000,0.25000000
"P",2.10000000,0.20000000
"IM",2.47000000,0.10000000
"Li",1.13700000,0.01830000
"IP",1.86800000,0.00277000
"Na",1.86800000,0.00277000
"K",2.65800000,0.00032800
"Rb",2.95600000,0.00017000
"Cs",3.39500000,0.00008000
"MG",0.79260000,0.89470000
"C0",1.71310000,0.45978900
"Zn",1.10000000,0.01250000
"F",1.75000000,0.06100000
"Cl",1.94800000,0.26500000
"Br",2.22000000,0.32000000
"I",2.35000000,0.40000000
"IB",5.00000000,0.10000000
"LP",0.00000000,0.00000000
